Age,Gender,Occupation,Annual_Income_USD,Marital_Status,Has_Children,Hotel_Stay_Frequency,Preferred_Hotel_Type,Typical_Length_of_Stay,Stay_Reason,Comfort_With_Smart_Features,WiFi_Importance,Mobile_Checkin_Usage,Allow_Data_For_Personalization,Valued_Aspects,Smart_Features_Desired,Common_Challenges,Average_Spend_Per_Night,Willingness_To_Pay_Extra,Would_Recommend_AI_Hotel,AI_Preference_Score,Willing_To_Stay_At_IntelliStay,Willing_To_Share_Preferences
39,Male,Working Professional,41801,Single,No,3–5,Luxury,2–3 nights,Event,Yes,Very Important,Sometimes,Yes,Food Quality,"Mood Music, Smart Mirror, Smart Lighting",Noisy rooms,115,< $5,No,8,Yes,Yes
33,Male,Student,3079,Single,No,1–2,Business,4–6 nights,Leisure,Yes,Somewhat Important,Sometimes,Yes,Privacy,"Smart Lighting, AI Concierge","Long check-in times, Lack of personalization",177,$10–$20,Yes,7,No,Yes
41,Female,Working Professional,18830,Married,No,6–10,Budget,2–3 nights,Transit,Yes,Very Important,Never,No,"Cleanliness, Staff Friendliness, Food Quality","Mood Music, AI Concierge, Personalized Room Temperature","Poor Wi-Fi, Noisy rooms, Other",149,$20+,Yes,7,Yes,Yes
50,Female,Working Professional,65147,Married,Yes,3–5,Business,2–3 nights,Business,Yes,Somewhat Important,Never,Yes,Technology,"Smart Mirror, Personalized Room Temperature","Poor Wi-Fi, Other",766,$10–$20,Yes,8,Yes,Yes
32,Male,Entrepreneur,22729,Single,No,6–10,Airbnb,2–3 nights,Business,Yes,Very Important,Never,Yes,"Technology, Food Quality","AI Concierge, Smart Lighting","Noisy rooms, Poor Wi-Fi",156,$5–$10,Yes,6,Yes,No
32,Non-Binary,Working Professional,234874,Divorced,Yes,3–5,Boutique,2–3 nights,Other,Yes,Very Important,Sometimes,Yes,"Food Quality, Technology, Ambience",Smart Lighting,"Lack of personalization, Other, Noisy rooms",180,$5–$10,Yes,3,Yes,Yes
50,Male,Working Professional,32753,Married,No,3–5,Boutique,2–3 nights,Other,No,Somewhat Important,Sometimes,Yes,"Ambience, Cleanliness, Food Quality",Mood Music,"Lack of personalization, Noisy rooms, Other",163,< $5,Yes,7,No,Yes
42,Female,Working Professional,15494,Married,No,6–10,Luxury,2–3 nights,Leisure,Yes,Very Important,Never,Yes,Ambience,Personalized Room Temperature,"Poor Wi-Fi, Other",127,$10–$20,Yes,6,Yes,Yes
30,Female,Retired,9944,Married,No,3–5,Luxury,1 night,Event,Yes,Somewhat Important,Sometimes,No,Cleanliness,"AI Concierge, Personalized Room Temperature","Lack of personalization, Poor Wi-Fi, Long check-in times",99,$5–$10,Yes,5,Yes,Yes
40,Female,Working Professional,17263,Single,No,3–5,Budget,2–3 nights,Business,Yes,Not Important,Always,No,Privacy,AI Concierge,Other,163,< $5,Yes,5,Yes,Yes
